dataset,url,firstname,lastname,email,contactnumber,companyname,jobtitle
1,https://www.optus.com.au/enterprise/contact-us,test,tes,test@yop.com,456711223,test1,mr
2,https://www.optus.com.au/enterprise/industries/construction,test2,tes2,test2@yop.com,456711223,test2,mr
3,https://www.optus.com.au/enterprise/industries/education,test3,tes,test@yop.com,456711223,test3,mr
4,https://www.optus.com.au/enterprise/industries/property,test4,tes,test@yop.com,456711223,test4,mr
5,https://www.optus.com.au/enterprise/industries/retail,test5,tes,test@yop.com,456711223,test5,mr
6,https://www.optus.com.au/enterprise/industries/transport-logistics,test6,tes,test@yop.com,456711223,test6,mr
7,https://www.optus.com.au/enterprise/industries/manufacturing,test7,tes,test@yop.com,456711223,test7,mr
8,https://www.optus.com.au/enterprise/industries/financial-services-insurance,test8,tes,test@yop.com,456711223,test8,mr
9,https://www.optus.com.au/enterprise/industries/professional-services,test9,tes,test@yop.com,456711223,test9,mr
10,https://www.optus.com.au/enterprise/industries/energy-utilities,test10,tes,test@yop.com,456711223,test10,mr
11,https://www.optus.com.au/enterprise/industries/health-care-aged-care-social-services,test11,tes,test@yop.com,456711223,test11,mr
12,https://www.optus.com.au/enterprise/industries/mining-resources,test12,tes,test@yop.com,456711223,test12,mr
13,https://www.optus.com.au/enterprise/industries/not-for-profit-community-services,test13,tes,test@yop.com,456711223,test13,mr
